,Income_Category
1000,$60K - $80K
2482,Less than $40K
6908,Less than $40K
134,Less than $40K
6349,Less than $40K
5634,$80K - $120K
618,Unknown
7943,Less than $40K
538,$60K - $80K
7150,Less than $40K
5387,Less than $40K
6883,Less than $40K
8983,Less than $40K
5602,$40K - $60K
7304,$40K - $60K
10066,$80K - $120K
995,$120K +
7562,Less than $40K
6666,Less than $40K
7457,Less than $40K
9062,$60K - $80K
6116,$40K - $60K
36,Less than $40K
8195,$40K - $60K
4038,$60K - $80K
8176,$40K - $60K
307,$80K - $120K
9071,$60K - $80K
1288,Unknown
247,$120K +
6808,$40K - $60K
6124,$40K - $60K
7087,Less than $40K
4615,Less than $40K
5120,Less than $40K
4506,Less than $40K
4023,Less than $40K
1524,$60K - $80K
4521,$60K - $80K
3256,$40K - $60K
8604,Less than $40K
5573,Less than $40K
3654,$60K - $80K
9492,$80K - $120K
7818,$60K - $80K
4654,$60K - $80K
9461,$80K - $120K
2784,$80K - $120K
1321,Less than $40K
2917,$80K - $120K
9072,$60K - $80K
7447,Unknown
10021,Unknown
1076,Less than $40K
1164,Less than $40K
5069,Unknown
4696,$80K - $120K
7853,$40K - $60K
1867,$120K +
1486,$40K - $60K
2342,$80K - $120K
5141,Less than $40K
3929,$80K - $120K
1047,$40K - $60K
2835,Less than $40K
8519,$40K - $60K
3249,$120K +
3145,Less than $40K
9642,Less than $40K
8121,Less than $40K
7479,$120K +
5279,$40K - $60K
1669,$60K - $80K
6564,$80K - $120K
3782,Less than $40K
3799,$60K - $80K
9992,$80K - $120K
4218,Less than $40K
2121,$120K +
5331,$80K - $120K
8034,Less than $40K
2781,Less than $40K
8065,$80K - $120K
6423,Less than $40K
9355,Less than $40K
8399,Unknown
1587,$40K - $60K
7345,Less than $40K
8383,Less than $40K
6332,Unknown
6544,Less than $40K
4962,$60K - $80K
4182,Less than $40K
7656,$40K - $60K
8904,Less than $40K
6347,$40K - $60K
810,$80K - $120K
4061,Less than $40K
9116,Unknown
7135,Less than $40K
5205,Less than $40K
6768,$40K - $60K
6101,$40K - $60K
8720,Less than $40K
4131,Less than $40K
8905,$120K +
8939,$60K - $80K
9472,$40K - $60K
2006,$60K - $80K
5692,Less than $40K
7501,Unknown
4290,Less than $40K
7401,Less than $40K
5548,$60K - $80K
1370,$60K - $80K
25,Less than $40K
1135,$80K - $120K
4452,Unknown
7883,$80K - $120K
5202,$80K - $120K
1960,Less than $40K
151,Unknown
8254,$120K +
6543,$40K - $60K
9399,$60K - $80K
4352,Less than $40K
1289,$120K +
8105,Less than $40K
3423,Less than $40K
4970,Less than $40K
3274,$80K - $120K
4555,$120K +
1802,Less than $40K
6413,Unknown
1764,$60K - $80K
4366,Less than $40K
3818,$80K - $120K
4358,$60K - $80K
7635,$120K +
1922,Less than $40K
279,$40K - $60K
4927,$40K - $60K
5259,$40K - $60K
9977,Less than $40K
8924,Unknown
7,$60K - $80K
7848,Less than $40K
6545,$40K - $60K
8596,$40K - $60K
800,$120K +
5124,$60K - $80K
2953,Less than $40K
6755,Less than $40K
6198,$80K - $120K
10018,Less than $40K
3452,$60K - $80K
9416,$60K - $80K
9808,$80K - $120K
6866,$40K - $60K
9795,$60K - $80K
1513,$40K - $60K
8896,$120K +
3871,Less than $40K
6250,Less than $40K
9165,$60K - $80K
1496,Less than $40K
2014,$40K - $60K
5646,$80K - $120K
7057,Less than $40K
9913,Less than $40K
2362,Unknown
2943,$120K +
1963,Less than $40K
8995,$80K - $120K
2896,Less than $40K
4394,$40K - $60K
4247,Less than $40K
3646,$80K - $120K
3372,$40K - $60K
5768,Unknown
274,$80K - $120K
173,$80K - $120K
10123,$40K - $60K
626,$80K - $120K
2282,Less than $40K
4360,Unknown
5490,Less than $40K
9803,$80K - $120K
7788,Less than $40K
9906,Less than $40K
9634,$40K - $60K
9683,$40K - $60K
2948,$60K - $80K
6723,Less than $40K
8681,$60K - $80K
7018,Unknown
7664,Less than $40K
9098,Less than $40K
1271,Less than $40K
4568,$80K - $120K
592,Less than $40K
2533,$40K - $60K
9249,$40K - $60K
7530,$80K - $120K
9475,$60K - $80K
6714,Unknown
6670,Unknown
4203,Less than $40K
4004,$60K - $80K
53,$120K +
7599,$120K +
4149,$80K - $120K
6750,Less than $40K
2221,$40K - $60K
6072,$60K - $80K
2510,$40K - $60K
3992,Less than $40K
84,$80K - $120K
339,Less than $40K
4627,$40K - $60K
2170,Less than $40K
4185,$120K +
5560,Less than $40K
2529,Less than $40K
3836,$40K - $60K
8258,$60K - $80K
7458,Unknown
7222,Less than $40K
322,Less than $40K
364,Less than $40K
4100,Less than $40K
6404,$80K - $120K
5882,$60K - $80K
863,$60K - $80K
2570,$80K - $120K
7552,$40K - $60K
5890,Unknown
5469,Less than $40K
4263,$120K +
4527,$40K - $60K
7515,Less than $40K
7103,Less than $40K
5335,Unknown
2339,$60K - $80K
694,Unknown
7329,Less than $40K
1879,$40K - $60K
2241,$60K - $80K
4592,$40K - $60K
7508,$40K - $60K
7140,Less than $40K
1334,$60K - $80K
6516,Less than $40K
2265,Less than $40K
9732,Less than $40K
7348,$40K - $60K
3352,Less than $40K
4267,Less than $40K
2099,Unknown
3640,$60K - $80K
4526,$60K - $80K
8276,Less than $40K
11,$40K - $60K
6760,$40K - $60K
5058,Unknown
774,$120K +
4690,Less than $40K
1650,Less than $40K
8221,Less than $40K
9887,$60K - $80K
8810,Less than $40K
1678,$120K +
1347,Less than $40K
2619,Less than $40K
5836,$40K - $60K
3277,Less than $40K
1432,$80K - $120K
1437,$120K +
7798,$40K - $60K
8225,$40K - $60K
8147,Unknown
1409,$40K - $60K
8782,Unknown
7166,Unknown
3312,Less than $40K
6432,Less than $40K
4668,Less than $40K
2261,$60K - $80K
4275,Unknown
1993,Less than $40K
3397,Unknown
8241,Less than $40K
7049,$120K +
3820,$40K - $60K
7042,Less than $40K
1674,$40K - $60K
5840,Less than $40K
426,$60K - $80K
1291,Less than $40K
1804,$80K - $120K
404,$120K +
9593,Less than $40K
1961,$80K - $120K
7428,$40K - $60K
1705,$40K - $60K
6241,$60K - $80K
6645,$80K - $120K
8695,$80K - $120K
4760,Less than $40K
8646,$120K +
5627,Less than $40K
1421,Less than $40K
9490,$80K - $120K
43,$60K - $80K
1211,$40K - $60K
2875,$80K - $120K
8250,$120K +
6033,$80K - $120K
10054,Less than $40K
1191,$60K - $80K
8212,$60K - $80K
8315,$120K +
1775,Unknown
2126,Less than $40K
3178,$80K - $120K
7498,Unknown
8504,Unknown
6378,$40K - $60K
969,$120K +
9304,$80K - $120K
3426,$40K - $60K
4556,Less than $40K
5094,$80K - $120K
2284,Unknown
3332,Less than $40K
1994,Less than $40K
5938,Less than $40K
6255,Unknown
1096,Less than $40K
1827,$80K - $120K
6412,Unknown
7888,Less than $40K
6151,Less than $40K
6917,Less than $40K
3534,$60K - $80K
7630,$120K +
7281,$40K - $60K
6438,$80K - $120K
5364,$80K - $120K
9090,$80K - $120K
5956,Less than $40K
9007,$120K +
5513,Less than $40K
7099,Less than $40K
9233,$60K - $80K
9978,Less than $40K
5974,$80K - $120K
4083,$40K - $60K
8252,Unknown
699,$60K - $80K
8321,Unknown
1824,$60K - $80K
1272,Less than $40K
4879,Less than $40K
3688,$60K - $80K
5681,$40K - $60K
2770,$40K - $60K
4482,$80K - $120K
1821,Less than $40K
2759,Unknown
9145,$60K - $80K
5709,Less than $40K
3578,$40K - $60K
5330,Less than $40K
417,$80K - $120K
5835,Unknown
5155,Less than $40K
9270,Unknown
7556,$80K - $120K
3709,Less than $40K
6628,$40K - $60K
4225,$120K +
145,Less than $40K
8167,Less than $40K
8349,$40K - $60K
6061,Less than $40K
3467,$60K - $80K
4279,Unknown
10112,$120K +
3946,$80K - $120K
10115,$40K - $60K
7175,$80K - $120K
1986,$80K - $120K
6977,Less than $40K
4357,Unknown
8997,Unknown
2592,$80K - $120K
4201,Unknown
7764,$40K - $60K
730,Less than $40K
3281,Less than $40K
8098,$60K - $80K
9701,$60K - $80K
6498,Less than $40K
619,$60K - $80K
945,Less than $40K
4764,Less than $40K
7123,Less than $40K
116,$80K - $120K
3472,$80K - $120K
72,$60K - $80K
8666,$80K - $120K
6480,Unknown
8974,$120K +
9619,$80K - $120K
540,$40K - $60K
2213,$80K - $120K
7722,Unknown
6420,Less than $40K
8420,Less than $40K
6748,$40K - $60K
3696,Unknown
8192,Less than $40K
1829,$60K - $80K
7867,Less than $40K
9620,Less than $40K
8070,Less than $40K
1617,$80K - $120K
4115,Unknown
8737,$120K +
5191,Unknown
429,Less than $40K
9868,$60K - $80K
5680,Less than $40K
8671,Less than $40K
6393,$40K - $60K
5980,$60K - $80K
3781,Less than $40K
8953,Less than $40K
2500,Unknown
3278,Less than $40K
829,$40K - $60K
7207,$80K - $120K
1012,$120K +
3891,Unknown
8860,$60K - $80K
7844,$60K - $80K
3298,$40K - $60K
8269,Less than $40K
6775,Less than $40K
3222,$40K - $60K
7831,Unknown
7270,$60K - $80K
6878,$40K - $60K
7698,Unknown
4037,Less than $40K
4659,$40K - $60K
3911,Less than $40K
8665,Unknown
7130,Less than $40K
8538,$40K - $60K
8862,$40K - $60K
598,Less than $40K
5605,$80K - $120K
7093,Less than $40K
7005,$40K - $60K
3338,$60K - $80K
4191,Less than $40K
9996,Less than $40K
1730,$40K - $60K
2882,Less than $40K
3002,Less than $40K
9549,Less than $40K
8503,$40K - $60K
5721,Less than $40K
2400,$80K - $120K
8811,Unknown
8051,Less than $40K
3343,Less than $40K
7396,Unknown
2373,Less than $40K
419,$60K - $80K
7921,$40K - $60K
9815,$80K - $120K
2661,$80K - $120K
5989,$40K - $60K
2571,Less than $40K
5006,Less than $40K
2825,Less than $40K
6027,Unknown
1749,Less than $40K
9209,$60K - $80K
6749,Unknown
1883,$80K - $120K
6514,Unknown
6365,Less than $40K
4730,$40K - $60K
3609,Unknown
9349,Less than $40K
1443,Unknown
365,$120K +
7647,$60K - $80K
6618,Less than $40K
1745,Less than $40K
3823,Less than $40K
5176,$80K - $120K
4421,$40K - $60K
7531,Less than $40K
3314,$60K - $80K
4318,$40K - $60K
1023,$40K - $60K
3425,Less than $40K
95,Less than $40K
7971,$120K +
7306,$40K - $60K
9411,$40K - $60K
7511,$40K - $60K
9151,$40K - $60K
5433,Less than $40K
3496,$120K +
9916,Unknown
4852,$60K - $80K
5593,Less than $40K
7576,Less than $40K
5396,$40K - $60K
8005,Less than $40K
5099,$120K +
9650,Less than $40K
2574,$120K +
4676,Less than $40K
9935,$40K - $60K
4404,Less than $40K
8130,$40K - $60K
6143,$40K - $60K
6508,Less than $40K
8936,$40K - $60K
8257,$120K +
2285,$60K - $80K
966,$120K +
8957,Less than $40K
2898,$60K - $80K
2827,Less than $40K
8807,Unknown
8699,Less than $40K
3366,$40K - $60K
2470,$40K - $60K
2186,Less than $40K
282,$40K - $60K
9780,Less than $40K
2929,$60K - $80K
1204,$60K - $80K
2436,$80K - $120K
6323,$60K - $80K
9744,Less than $40K
3788,Less than $40K
6292,Unknown
2681,$60K - $80K
2671,$80K - $120K
8296,$60K - $80K
10,$120K +
8458,Unknown
470,Less than $40K
2403,$80K - $120K
9745,Less than $40K
544,Less than $40K
2841,Less than $40K
6603,$120K +
8712,$40K - $60K
3202,$120K +
6486,$40K - $60K
4220,$120K +
7733,$40K - $60K
2101,Less than $40K
7347,Less than $40K
8509,Less than $40K
3404,$80K - $120K
9530,$60K - $80K
4633,$120K +
6449,$40K - $60K
6799,$80K - $120K
1578,$80K - $120K
4880,$40K - $60K
1793,Less than $40K
896,$80K - $120K
7186,Less than $40K
7337,Less than $40K
8595,$80K - $120K
1079,Less than $40K
2638,$40K - $60K
4386,$40K - $60K
6597,Less than $40K
2790,$60K - $80K
1389,$40K - $60K
1781,Less than $40K
9504,Less than $40K
2414,$80K - $120K
7262,Less than $40K
3732,$40K - $60K
7298,$120K +
3866,$80K - $120K
6287,Less than $40K
3345,Less than $40K
7797,Less than $40K
2800,$40K - $60K
7037,Less than $40K
5233,Unknown
2599,Less than $40K
34,$80K - $120K
6455,$80K - $120K
5805,Less than $40K
3279,$40K - $60K
780,$40K - $60K
2113,$60K - $80K
4935,$40K - $60K
3720,$60K - $80K
6482,Less than $40K
998,$80K - $120K
10004,Less than $40K
916,Less than $40K
558,$80K - $120K
3829,Less than $40K
5348,$40K - $60K
1735,Less than $40K
5261,$80K - $120K
5400,Less than $40K
3341,$80K - $120K
4645,Less than $40K
6435,Less than $40K
1388,$40K - $60K
7416,Less than $40K
193,$120K +
6910,$80K - $120K
9591,$40K - $60K
6223,$40K - $60K
4561,Less than $40K
4334,$120K +
3257,Less than $40K
9124,Less than $40K
4565,Less than $40K
4243,Less than $40K
8587,$40K - $60K
5242,Less than $40K
3816,$60K - $80K
6710,$40K - $60K
10039,$120K +
4172,$80K - $120K
7846,$120K +
2068,$60K - $80K
5807,Less than $40K
3315,$40K - $60K
8440,Less than $40K
8682,$60K - $80K
3309,Unknown
8407,Less than $40K
6664,$40K - $60K
0,$60K - $80K
311,$60K - $80K
3402,$80K - $120K
2807,Less than $40K
2600,$80K - $120K
2649,Less than $40K
1709,Less than $40K
8825,$60K - $80K
5049,Less than $40K
5351,$40K - $60K
9306,$120K +
9466,$40K - $60K
7381,$60K - $80K
9688,$60K - $80K
1562,$60K - $80K
5481,$40K - $60K
8668,$40K - $60K
8245,Less than $40K
9893,Unknown
5698,Less than $40K
9807,$40K - $60K
3357,$40K - $60K
4908,Unknown
941,$60K - $80K
9865,$80K - $120K
8067,Less than $40K
7948,Less than $40K
2278,$40K - $60K
7400,$80K - $120K
2266,Less than $40K
309,Less than $40K
2901,$40K - $60K
2958,$80K - $120K
6370,$60K - $80K
4448,Less than $40K
3584,Less than $40K
6927,Less than $40K
7523,$40K - $60K
617,$40K - $60K
4513,$40K - $60K
7244,$80K - $120K
4231,$40K - $60K
10038,$60K - $80K
8231,Less than $40K
7906,Less than $40K
4180,$60K - $80K
6721,Unknown
5157,Less than $40K
5794,$40K - $60K
8381,Less than $40K
2095,$60K - $80K
9644,$120K +
5456,$80K - $120K
6571,Less than $40K
2204,$40K - $60K
4395,Unknown
2664,$80K - $120K
8404,Unknown
6003,Less than $40K
5855,Less than $40K
5276,$80K - $120K
8263,$60K - $80K
4046,$60K - $80K
3729,$80K - $120K
1851,Unknown
9035,Less than $40K
8815,Less than $40K
5368,Less than $40K
412,$60K - $80K
6496,Less than $40K
8677,$60K - $80K
2714,$80K - $120K
8781,$80K - $120K
3648,Less than $40K
9299,$80K - $120K
4127,$40K - $60K
2712,$60K - $80K
4772,$40K - $60K
9187,$60K - $80K
3285,Less than $40K
9541,Less than $40K
1090,$80K - $120K
2023,$40K - $60K
1564,$120K +
7194,$80K - $120K
804,$60K - $80K
7006,Less than $40K
2118,$60K - $80K
3250,$40K - $60K
1298,Less than $40K
5082,$40K - $60K
1571,$60K - $80K
2336,$40K - $60K
7652,Less than $40K
715,$80K - $120K
2872,Less than $40K
9291,$80K - $120K
1687,Less than $40K
2866,$80K - $120K
1089,Unknown
4233,$40K - $60K
1773,$80K - $120K
7843,Less than $40K
7870,$40K - $60K
2314,$120K +
5497,Less than $40K
3456,$120K +
278,$80K - $120K
4896,$60K - $80K
5291,Less than $40K
125,$60K - $80K
8583,Less than $40K
2448,$60K - $80K
8731,$80K - $120K
6023,Unknown
3439,$60K - $80K
2185,$40K - $60K
6175,Less than $40K
4330,$120K +
4510,$80K - $120K
4543,Less than $40K
8505,Less than $40K
3936,$60K - $80K
9340,Less than $40K
9657,$60K - $80K
9268,Less than $40K
5080,$60K - $80K
3024,$60K - $80K
10092,Unknown
7168,$40K - $60K
9396,$120K +
1905,$120K +
3792,Less than $40K
7863,Less than $40K
8189,Less than $40K
7583,Less than $40K
3582,$60K - $80K
6535,Less than $40K
9184,$40K - $60K
8723,Less than $40K
9605,Less than $40K
9313,$60K - $80K
1586,Less than $40K
3998,Less than $40K
7527,Unknown
8165,Less than $40K
1053,$80K - $120K
4086,$40K - $60K
4884,$80K - $120K
6958,$60K - $80K
90,Less than $40K
5258,Less than $40K
5011,$40K - $60K
8127,$40K - $60K
2998,Less than $40K
1914,Less than $40K
6824,Unknown
1217,$80K - $120K
5763,$80K - $120K
7063,$40K - $60K
1701,$40K - $60K
7653,$40K - $60K
4085,Less than $40K
8808,Unknown
2935,$120K +
7090,Less than $40K
8447,$40K - $60K
4533,$80K - $120K
3159,Less than $40K
4020,Less than $40K
9513,$60K - $80K
1766,$120K +
2997,$120K +
10007,$60K - $80K
8765,$60K - $80K
3738,$60K - $80K
7098,$60K - $80K
9521,$80K - $120K
9170,$60K - $80K
8120,Less than $40K
3991,$120K +
2669,Less than $40K
918,$80K - $120K
9028,Less than $40K
8463,$80K - $120K
4474,Less than $40K
5782,$80K - $120K
7088,$80K - $120K
6463,$60K - $80K
6900,$80K - $120K
7292,$40K - $60K
7528,$120K +
3463,$60K - $80K
785,$60K - $80K
4580,Less than $40K
5243,Less than $40K
9219,Less than $40K
1943,$40K - $60K
9477,$60K - $80K
5397,$40K - $60K
139,Less than $40K
9826,Less than $40K
6823,Less than $40K
7548,Less than $40K
620,$40K - $60K
4163,$40K - $60K
8487,$60K - $80K
5134,Less than $40K
4968,Less than $40K
5576,$40K - $60K
9288,Less than $40K
9205,$80K - $120K
1809,$40K - $60K
5268,Less than $40K
4850,Less than $40K
4692,Unknown
2716,$60K - $80K
8732,Less than $40K
6947,$40K - $60K
507,$60K - $80K
5218,$80K - $120K
3377,Less than $40K
7174,$60K - $80K
4079,$40K - $60K
4239,Unknown
9322,$120K +
4888,$80K - $120K
6162,Less than $40K
1363,$40K - $60K
2724,$80K - $120K
5062,Less than $40K
8698,$40K - $60K
240,Less than $40K
7637,Less than $40K
4209,$120K +
7442,$80K - $120K
2070,$80K - $120K
6942,$80K - $120K
8454,Less than $40K
7389,Unknown
6217,$60K - $80K
3731,$120K +
7933,Less than $40K
5209,Less than $40K
645,$40K - $60K
7335,$40K - $60K
6397,Less than $40K
9188,$60K - $80K
2131,$40K - $60K
4,$60K - $80K
6092,$60K - $80K
8146,$120K +
8852,Less than $40K
1672,Less than $40K
792,Less than $40K
5349,Less than $40K
5047,Less than $40K
818,Less than $40K
5536,$40K - $60K
4822,Less than $40K
3802,$40K - $60K
10120,$60K - $80K
2856,Less than $40K
2815,$40K - $60K
9484,Less than $40K
5461,Less than $40K
6191,$40K - $60K
1956,$40K - $60K
1208,Less than $40K
2222,$60K - $80K
7490,Less than $40K
7097,$40K - $60K
581,$60K - $80K
6793,$40K - $60K
7675,$40K - $60K
4262,$40K - $60K
8301,Less than $40K
3237,$80K - $120K
3064,$80K - $120K
1304,Less than $40K
6563,$40K - $60K
6940,$40K - $60K
2594,Less than $40K
4251,Less than $40K
6614,$40K - $60K
8645,Less than $40K
6071,Less than $40K
6654,$80K - $120K
8623,$40K - $60K
6083,Less than $40K
9575,$40K - $60K
3005,Less than $40K
5050,Less than $40K
706,$40K - $60K
4222,Unknown
2555,$60K - $80K
8284,Less than $40K
8382,$60K - $80K
2677,$120K +
9222,Less than $40K
7957,Unknown
8013,$80K - $120K
7278,Less than $40K
6627,Less than $40K
5114,$60K - $80K
8948,Less than $40K
7961,Less than $40K
2472,$60K - $80K
1660,$80K - $120K
2441,$40K - $60K
5821,Less than $40K
9358,Less than $40K
8033,$60K - $80K
5561,$60K - $80K
1228,Less than $40K
7613,Less than $40K
953,$80K - $120K
3230,Unknown
3124,$60K - $80K
1185,Less than $40K
402,$80K - $120K
4493,Unknown
6056,Less than $40K
5815,$40K - $60K
310,$40K - $60K
6000,Less than $40K
1756,$80K - $120K
2279,Less than $40K
2763,$80K - $120K
720,$80K - $120K
7646,Less than $40K
2353,$80K - $120K
6616,Unknown
4219,Less than $40K
4362,$40K - $60K
6580,Less than $40K
2161,$40K - $60K
396,$60K - $80K
3558,$120K +
6230,$60K - $80K
2167,Less than $40K
7681,Less than $40K
1062,Unknown
394,$40K - $60K
334,$120K +
3084,Less than $40K
4900,Less than $40K
6419,Less than $40K
1763,Unknown
6197,Less than $40K
1401,$80K - $120K
3870,$40K - $60K
8128,Less than $40K
5282,Unknown
1418,Less than $40K
6639,Less than $40K
3576,Less than $40K
1565,Less than $40K
10022,$60K - $80K
6340,$60K - $80K
8977,$80K - $120K
3771,$60K - $80K
5133,$80K - $120K
2777,Less than $40K
9374,$80K - $120K
4112,Less than $40K
7429,$40K - $60K
915,$40K - $60K
8320,Unknown
5766,$40K - $60K
5362,$80K - $120K
4105,Less than $40K
3817,Less than $40K
8894,$80K - $120K
5264,$60K - $80K
5311,Less than $40K
5038,$40K - $60K
3513,Less than $40K
708,$40K - $60K
5201,$80K - $120K
292,$60K - $80K
3944,Unknown
6513,$40K - $60K
400,$40K - $60K
1772,$40K - $60K
1916,$60K - $80K
6274,Less than $40K
6261,Unknown
532,$60K - $80K
9778,Less than $40K
9970,$80K - $120K
9949,$120K +
10068,Less than $40K
7525,Less than $40K
6601,Less than $40K
9478,$80K - $120K
9278,$80K - $120K
2742,$40K - $60K
5796,Less than $40K
9648,Less than $40K
2036,Unknown
7749,Less than $40K
3611,$40K - $60K
349,Less than $40K
5465,$80K - $120K
9037,$80K - $120K
3003,$80K - $120K
3947,$80K - $120K
3684,$80K - $120K
8981,$40K - $60K
4918,Unknown
8346,$60K - $80K
6471,Less than $40K
9805,Less than $40K
8921,$80K - $120K
2451,$120K +
1643,$60K - $80K
3586,$80K - $120K
950,$60K - $80K
7275,Unknown
5453,Less than $40K
2858,Unknown
4650,Less than $40K
6957,$40K - $60K
4972,Less than $40K
6008,Unknown
4345,Less than $40K
5639,$40K - $60K
2984,$80K - $120K
5825,Less than $40K
7405,Less than $40K
7491,$80K - $120K
8213,Less than $40K
7453,Less than $40K
2676,$60K - $80K
5958,$40K - $60K
9384,Unknown
3621,$80K - $120K
7121,Less than $40K
5857,$120K +
2281,$40K - $60K
5350,Unknown
4469,Less than $40K
2982,$40K - $60K
624,$60K - $80K
250,$120K +
4995,Unknown
5063,Unknown
8292,$60K - $80K
2304,$60K - $80K
3487,Less than $40K
5452,Less than $40K
4356,$80K - $120K
5801,Less than $40K
812,$40K - $60K
8892,$120K +
6521,Less than $40K
7590,Unknown
8555,$60K - $80K
3981,$80K - $120K
6328,Unknown
9359,Unknown
8274,Less than $40K
2845,Unknown
1243,$60K - $80K
8233,$40K - $60K
5574,$40K - $60K
7390,$60K - $80K
9,$80K - $120K
8207,Less than $40K
8024,$120K +
880,$80K - $120K
6923,Unknown
2467,Less than $40K
1959,Less than $40K
2478,Less than $40K
6472,Less than $40K
3879,Less than $40K
378,$80K - $120K
3632,$80K - $120K
9149,Less than $40K
3029,$60K - $80K
9859,$120K +
2389,Less than $40K
1224,Less than $40K
4027,$80K - $120K
2562,$60K - $80K
1714,$40K - $60K
6178,Unknown
8824,Less than $40K
5909,$60K - $80K
1924,$60K - $80K
1966,Less than $40K
7129,$80K - $120K
9332,$60K - $80K
658,$60K - $80K
5640,$80K - $120K
4886,Unknown
5108,$40K - $60K
2850,Less than $40K
3009,$60K - $80K
2616,Unknown
8866,$120K +
9153,$40K - $60K
5934,$80K - $120K
3327,$80K - $120K
6096,$80K - $120K
6766,Less than $40K
328,$80K - $120K
1435,$60K - $80K
5715,$120K +
2236,Less than $40K
1180,$40K - $60K
2629,$120K +
4662,$60K - $80K
8280,Unknown
5816,Less than $40K
6319,Less than $40K
3922,$40K - $60K
3934,$120K +
5231,Less than $40K
5337,Less than $40K
716,$60K - $80K
6739,$40K - $60K
8497,$40K - $60K
5516,Less than $40K
4863,Less than $40K
4051,Less than $40K
10067,$40K - $60K
2504,$40K - $60K
2043,$120K +
6936,Less than $40K
5230,$80K - $120K
9398,$80K - $120K
9685,Less than $40K
3952,Less than $40K
6212,Unknown
3134,$40K - $60K
1519,$80K - $120K
5764,Unknown
3018,$60K - $80K
3918,$40K - $60K
9940,$80K - $120K
6344,Unknown
3641,$120K +
7420,$40K - $60K
4240,$80K - $120K
9246,$80K - $120K
551,$40K - $60K
8960,$40K - $60K
6941,$60K - $80K
10003,$60K - $80K
7053,Unknown
967,$80K - $120K
8197,Less than $40K
9079,Less than $40K
899,Less than $40K
2894,$80K - $120K
1168,$60K - $80K
194,Less than $40K
8761,$120K +
377,$40K - $60K
5585,Unknown
3186,$40K - $60K
4637,$80K - $120K
602,$40K - $60K
7302,Less than $40K
600,$80K - $120K
6975,$40K - $60K
7866,Less than $40K
3120,$40K - $60K
9375,$80K - $120K
9731,$80K - $120K
8000,Unknown
3728,$40K - $60K
3512,Unknown
149,$80K - $120K
3858,Less than $40K
1726,Unknown
3103,$80K - $120K
5869,Less than $40K
9986,$80K - $120K
7825,Unknown
9445,Less than $40K
2547,$120K +
5480,Less than $40K
1006,$80K - $120K
8562,$40K - $60K
4647,$120K +
901,$120K +
7998,$40K - $60K
9722,Less than $40K
3384,$80K - $120K
8184,Less than $40K
5720,$40K - $60K
2138,Less than $40K
3623,Unknown
8849,Less than $40K
8510,$40K - $60K
2396,$80K - $120K
1028,$40K - $60K
8188,Less than $40K
3933,Unknown
3783,Less than $40K
4297,$60K - $80K
8760,$80K - $120K
3725,Less than $40K
8796,$80K - $120K
8017,$80K - $120K
1727,$80K - $120K
9261,Less than $40K
4001,$40K - $60K
3758,Less than $40K
4628,$80K - $120K
3983,$80K - $120K
9376,$60K - $80K
2349,$40K - $60K
4544,$80K - $120K
2315,Less than $40K
3962,$40K - $60K
3270,$60K - $80K
3113,$120K +
8590,Less than $40K
7872,Less than $40K
8136,Unknown
9857,$60K - $80K
8766,Less than $40K
4408,$40K - $60K
7695,$40K - $60K
9510,Less than $40K
9138,$80K - $120K
8161,Less than $40K
8107,Unknown
6740,Less than $40K
2128,Less than $40K
2097,$40K - $60K
7384,Less than $40K
481,$40K - $60K
7817,$80K - $120K
9181,$60K - $80K
3191,$80K - $120K
241,$80K - $120K
1093,$40K - $60K
5897,Unknown
2323,Unknown
4424,$40K - $60K
107,$60K - $80K
6288,$80K - $120K
3413,$40K - $60K
5797,$60K - $80K
762,$60K - $80K
8548,Less than $40K
1512,$60K - $80K
7317,Less than $40K
887,$60K - $80K
8106,Less than $40K
2189,$120K +
1651,Unknown
5922,Less than $40K
6953,Less than $40K
7219,Less than $40K
8614,$60K - $80K
325,$60K - $80K
6897,$40K - $60K
7443,Less than $40K
6505,$60K - $80K
7054,$40K - $60K
4335,$80K - $120K
8726,$80K - $120K
223,$40K - $60K
5297,Less than $40K
5666,Unknown
8061,Less than $40K
2288,$80K - $120K
766,$80K - $120K
1383,$40K - $60K
2357,$80K - $120K
587,$120K +
9776,$80K - $120K
3405,Less than $40K
7827,Less than $40K
3323,$80K - $120K
1743,Unknown
6653,Unknown
5708,$120K +
3131,$80K - $120K
2685,Less than $40K
9356,Less than $40K
5398,$60K - $80K
3716,$80K - $120K
9548,$80K - $120K
8117,Less than $40K
85,$60K - $80K
4314,$40K - $60K
6631,Unknown
3970,Less than $40K
8985,$80K - $120K
9962,$60K - $80K
3740,$60K - $80K
7984,Unknown
5914,Less than $40K
4389,$80K - $120K
7271,$60K - $80K
4261,Less than $40K
4447,Unknown
9300,$80K - $120K
9783,Less than $40K
9128,$60K - $80K
6991,$60K - $80K
117,$80K - $120K
8618,$80K - $120K
5257,Less than $40K
2495,Less than $40K
2605,$40K - $60K
3574,Less than $40K
6630,Unknown
2379,$40K - $60K
4638,$80K - $120K
420,Less than $40K
7299,$120K +
8058,Less than $40K
5457,$40K - $60K
7711,$80K - $120K
9186,$40K - $60K
6237,Less than $40K
8140,Less than $40K
8059,Less than $40K
3416,$80K - $120K
147,$120K +
6954,Less than $40K
525,$60K - $80K
4824,$40K - $60K
2942,$40K - $60K
9595,Less than $40K
6776,Less than $40K
